,Number Of Vertices,Number Of Edges,Max Degree,Min Degree,Max Clique,Max IS
2C4,8,8,2,2,2,4
2K2,4,2,1,1,2,2
2K3,6,6,2,2,3,0
2P3,6,4,2,1,2,4
3K1,3,0,0,0,0,3
3K2,6,3,2,2,2,3
4fan,6,9,5,2,3,3
4K1,4,0,0,0,1,4
5K1,5,0,1,1,1,5
5pan,6,6,3,1,2,3
6fan,7,11,6,2,3,3
6pan,7,7,3,2,2,3
A,6,6,3,1,2,3
antenna,6,7,3,1,3,3
AUK1,6,6,3,2,2,3
bull,5,5,3,1,3,3
butterfly,5,6,4,2,3,2
butterflyUK1,6,6,4,0,3,3
BW3,7,9,3,2,2,2
BW4,9,12,4,2,2,2
C4,4,4,2,2,2,1
C4U2K1,6,4,2,0,2,3
C4UP2,6,5,2,1,2,2
C5,5,5,2,2,2,2
C6,6,6,2,2,2,2
C7,7,7,2,2,2,2
C8,8,8,2,2,2,2
claw,4,3,3,1,1,1
clawU3K1,7,3,3,0,2,4
clawUK1,,,,,,
clawUtriangle,,,,,,
co-2C4,,,,,,
co-2P3,,,,,,
co-3K2,,,,,,
co-4fan,,,,,,
co-5pan,,,,,,
co-6fan,,,,,,
co-6pan,,,,,,
co-A,,,,,,
co-antenna,,,,,,
co-AUK1,,,,,,
co-butterfly,,,,,,
co-butterflyUK1,,,,,,
co-BW3,,,,,,
co-BW4,,,,,,
co-C4U2K1,,,,,,
co-C4UP2,,,,,,
co-C6,,,,,,
co-C7,,,,,,
co-C8,,,,,,
co-claw,,,,,,
co-clawU3K1,,,,,,
co-clawUK1,,,,,,
co-clawUtriangle,,,,,,
co-cricket,,,,,,
co-cross,,,,,,
co-dart,,,,,,
co-domino,,,,,,
co-E,,,,,,
co-eiffel,,,,,,
co-fish,,,,,,
co-gem,,,,,,
co-gemUK1,,,,,,
co-H,,,,,,
co-K23,,,,,,
co-K2Uclaw,,,,,,
co-K33-e,,,,,,
co-K33UK1,,,,,,
co-K3U2K1,,,,,,
co-K5-e,,,,,,
co-kiteUK1,,,,,,
co-longhorn,,,,,,
co-netUK1,,,,,,
co-P,,,,,,
co-P2UP3,,,,,,
co-P2UP4,,,,,,
co-P3,,,,,,
co-P3U2K1,,,,,,
co-P3UP4,,,,,,
co-P6,,,,,,
co-P7,,,,,,
co-paw,,,,,,
co-R,,,,,,
co-risingsun,,,,,,
co-S3UK1,,,,,,
co-skewstar,,,,,,
co-sunlet4,,,,,,
co-T2,,,,,,
co-twin-house,,,,,,
co-twinC5,,,,,,
co-W4,,,,,,
co-W4UK1,,,,,,
co-W5,,,,,,
co-W6,,,,,,
co-X1,,,,,,
co-X10,,,,,,
co-X100,,,,,,
co-X101,,,,,,
co-X102,,,,,,
co-X103,,,,,,
co-X104,,,,,,
co-X105,,,,,,
co-X106,,,,,,
co-X107,,,,,,
co-X108,,,,,,
co-X109,,,,,,
co-X11,,,,,,
co-X110,,,,,,
co-X111,,,,,,
co-X112,,,,,,
co-X113,,,,,,
co-X114,,,,,,
co-X115,,,,,,
co-X116,,,,,,
co-X117,,,,,,
co-X118,,,,,,
co-X119,,,,,,
co-X12,,,,,,
co-X120,,,,,,
co-X121,,,,,,
co-X122,,,,,,
co-X123,,,,,,
co-X124,,,,,,
co-X125,,,,,,
co-X126,,,,,,
co-X127,,,,,,
co-X128,,,,,,
co-X129,,,,,,
co-X13,,,,,,
co-X130,,,,,,
co-X131,,,,,,
co-X132,,,,,,
co-X133,,,,,,
co-X134,,,,,,
co-X135,,,,,,
co-X136,,,,,,
co-X137,,,,,,
co-X138,,,,,,
co-X139,,,,,,
co-X14,,,,,,
co-X140,,,,,,
co-X141,,,,,,
co-X142,,,,,,
co-X143,,,,,,
co-X144,,,,,,
co-X145,,,,,,
co-X146,,,,,,
co-X147,,,,,,
co-X148,,,,,,
co-X149,,,,,,
co-X15,,,,,,
co-X150,,,,,,
co-X151,,,,,,
co-X152,,,,,,
co-X153,,,,,,
co-X154,,,,,,
co-X155,,,,,,
co-X156,,,,,,
co-X157,,,,,,
co-X158,,,,,,
co-X159,,,,,,
co-X161,,,,,,
co-X162,,,,,,
co-X163,,,,,,
co-X164,,,,,,
co-X165,,,,,,
co-X166,,,,,,
co-X167,,,,,,
co-X168,,,,,,
co-X169,,,,,,
co-X17,,,,,,
co-X170,,,,,,
co-X171,,,,,,
co-X172,,,,,,
co-X173,,,,,,
co-X174,,,,,,
co-X175,,,,,,
co-X176,,,,,,
co-X177,,,,,,
co-X178,,,,,,
co-X179,,,,,,
co-X18,,,,,,
co-X180,,,,,,
co-X181,,,,,,
co-X182,,,,,,
co-X183,,,,,,
co-X184,,,,,,
co-X185,,,,,,
co-X187,,,,,,
co-X188,,,,,,
co-X189,,,,,,
co-X19,,,,,,
co-X190,,,,,,
co-X191,,,,,,
co-X192,,,,,,
co-X193,,,,,,
co-X194,,,,,,
co-X195,,,,,,
co-X196,,,,,,
co-X197,,,,,,
co-X198,,,,,,
co-X199,,,,,,
co-X2,,,,,,
co-X20,,,,,,
co-X200,,,,,,
co-X201,,,,,,
co-X204,,,,,,
co-X205,,,,,,
co-X206,,,,,,
co-X207,,,,,,
co-X21,,,,,,
co-X22,,,,,,
co-X23,,,,,,
co-X24,,,,,,
co-X25,,,,,,
co-X26,,,,,,
co-X27,,,,,,
co-X28,,,,,,
co-X29,,,,,,
co-X3,,,,,,
co-X30,,,,,,
co-X31,,,,,,
co-X32,,,,,,
co-X33,,,,,,
co-X34,,,,,,
co-X35,,,,,,
co-X36,,,,,,
co-X37,,,,,,
co-X38,,,,,,
co-X39,,,,,,
co-X4,,,,,,
co-X40,,,,,,
co-X41,,,,,,
co-X42,,,,,,
co-X43,,,,,,
co-X45,,,,,,
co-X46,,,,,,
co-X47,,,,,,
co-X48,,,,,,
co-X49,,,,,,
co-X5,,,,,,
